id,facebook_links/0,twitter_links/0,twitter_links/1,twitter_ids/0,twitter_ids/1,checked_link,social_medias,facebook_links/1,facebook_links/2,facebook_links/3,facebook_links/4,facebook_links/5,twitter_links/2,facebook_links/6,twitter_links/3,twitter_links/4,twitter_links/5,twitter_links/6,twitter_links/7,facebook_ids/0,facebook_links/7,facebook_ids/1,twitter_ids/2,twitter_ids/3,facebook_ids/2,twitter_ids/4,twitter_ids/5,twitter_ids/6,twitter_links/8,twitter_links/9,twitter_links/10,twitter_ids/7,facebook_links/8,facebook_ids/3,facebook_links/9,facebook_links/10
770,https://www.facebook.com/sharer/sharer.php?u=https://politica.estadao.com.br/blogs/estadao-verifica/videos-de-osmar-terra-sao-compartilhados-como-se-fossem-do-ex-ministro-adib-jatene/%3Futm_source%3Destadao%3Afacebook%26utm_medium%3Dlink,https://twitter.com/intent/tweet?text=Vídeos de Osmar Terra são compartilhados como se fossem do ex-ministro Adib Jatene%20@estadao%3A%20&url=https://politica.estadao.com.br/blogs/estadao-verifica/videos-de-osmar-terra-sao-compartilhados-como-se-fossem-do-ex-ministro-adib-jatene/%3Futm_source%3Destadao%3Atwitter%26utm_medium%3Dlink,https://twitter.com/intent/tweet?text=Vídeos de Osmar Terra são compartilhados como se fossem do ex-ministro Adib Jatene%20@estadao%3A%20&url=https://politica.estadao.com.br/blogs/estadao-verifica/videos-de-osmar-terra-sao-compartilhados-como-se-fossem-do-ex-ministro-adib-jatene/%3Futm_source%3Destadao%3Atwitter%26utm_medium%3Dlink,,,https://politica.estadao.com.br/blogs/estadao-verifica/videos-de-osmar-terra-sao-compartilhados-como-se-fossem-do-ex-ministro-adib-jatene/,0,https://www.facebook.com/sharer/sharer.php?u=https://politica.estadao.com.br/blogs/estadao-verifica/videos-de-osmar-terra-sao-compartilhados-como-se-fossem-do-ex-ministro-adib-jatene/%3Futm_source%3Destadao%3Afacebook%26utm_medium%3Dlink,https://www.facebook.com/estadao,,,,https://twitter.com/intent/tweet?text=V%C3%ADdeos+de+Osmar+Terra+s%C3%A3o+compartilhados+como+se+fossem+do+ex-ministro+Adib+Jatene%20@estadao%3A%20&url=https://politica.estadao.com.br/blogs/estadao-verifica/videos-de-osmar-terra-sao-compartilhados-como-se-fossem-do-ex-ministro-adib-jatene/%3Futm_source%3Destadao%3Atwitter%26utm_medium%3Dlink,,https://twitter.com/estadao/,,,,,,,,,,,,,,,,,,,,,
771,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-imagem-supermercado-saqueado-covid-19/,https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: Imagem de mercado saqueado em SP é antiga e não tem relação com Covid-19&url=https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-imagem-supermercado-saqueado-covid-19/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: Imagem de mercado saqueado em SP é antiga e não tem relação com Covid-19 https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-imagem-supermercado-saqueado-covid-19/,,,https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-imagem-supermercado-saqueado-covid-19/,0,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-imagem-supermercado-saqueado-covid-19/&t=%23Verificamos%3A+Imagem+de+mercado+saqueado+em+SP+%C3%A9+antiga+e+n%C3%A3o+tem+rela%C3%A7%C3%A3o+com+Covid-19,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-imagem-supermercado-saqueado-covid-19/&t=%23Verificamos%3A+Imagem+de+mercado+saqueado+em+SP+%C3%A9+antiga+e+n%C3%A3o+tem+rela%C3%A7%C3%A3o+com+Covid-19,https://www.facebook.com/help/publisher/182222309230722/,https://www.facebook.com/revistapiaui,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: Imagem de mercado saqueado em SP é antiga e não tem relação com Covid-19 https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-imagem-supermercado-saqueado-covid-19/,,https://webcache.googleusercontent.com/search?q=cache:SGzlw9ux4icJ:https://twitter.com/Rconstantino/status/1242816196677963776+&cd=1&hl=pt-PT&ct=clnk&gl=br,,,,,,,,,,,,,,,,,,,,,
772,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-israel-coronavirus/,https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: É falso que Israel teve ‘melhor situação do mundo’ contra Covid-19 isolando apenas idosos&url=https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-israel-coronavirus/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que Israel teve &8216;melhor situação do mundo&8217; contra Covid-19 isolando apenas idosos https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-israel-coronavirus/,,,https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-israel-coronavirus/,0,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-israel-coronavirus/&t=%23Verificamos%3A+%C3%89+falso+que+Israel+teve+%26%238216%3Bmelhor+situa%C3%A7%C3%A3o+do+mundo%26%238217%3B+contra+Covid-19+isolando+apenas+idosos,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-israel-coronavirus/&t=%23Verificamos%3A+%C3%89+falso+que+Israel+teve+%26%238216%3Bmelhor+situa%C3%A7%C3%A3o+do+mundo%26%238217%3B+contra+Covid-19+isolando+apenas+idosos,https://www.facebook.com/help/publisher/182222309230722/,https://www.facebook.com/revistapiaui,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que Israel teve &8216;melhor situação do mundo&8217; contra Covid-19 isolando apenas idosos https://piaui.folha.uol.com.br/lupa/2020/03/27/verificamos-israel-coronavirus/,,,,,,,,,,,,,,,,,,,,,,,
773,https://www.facebook.com/aosfatos.org/?fref=ts,,,,,https://www.aosfatos.org/noticias/bolsonaristas-resgatam-video-antigo-de-drauzio-varella-para-difundir-desinformacao-sobre-covid-19/,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,https://www.facebook.com/sharer/sharer.php?u=https://politica.estadao.com.br/blogs/estadao-verifica/reportagem-de-tv-italiana-sobre-virus-criado-em-laboratorio-chines-nao-tem-relacao-com-a-covid-19/%3Futm_source%3Destadao%3Afacebook%26utm_medium%3Dlink,https://twitter.com/intent/tweet?text=Reportagem de TV italiana sobre vírus criado em laboratório chinês não tem relação com a covid-19%20@estadao%3A%20&url=https://politica.estadao.com.br/blogs/estadao-verifica/reportagem-de-tv-italiana-sobre-virus-criado-em-laboratorio-chines-nao-tem-relacao-com-a-covid-19/%3Futm_source%3Destadao%3Atwitter%26utm_medium%3Dlink,https://twitter.com/intent/tweet?text=Reportagem de TV italiana sobre vírus criado em laboratório chinês não tem relação com a covid-19%20@estadao%3A%20&url=https://politica.estadao.com.br/blogs/estadao-verifica/reportagem-de-tv-italiana-sobre-virus-criado-em-laboratorio-chines-nao-tem-relacao-com-a-covid-19/%3Futm_source%3Destadao%3Atwitter%26utm_medium%3Dlink,,,https://politica.estadao.com.br/blogs/estadao-verifica/reportagem-de-tv-italiana-sobre-virus-criado-em-laboratorio-chines-nao-tem-relacao-com-a-covid-19/,0,https://www.facebook.com/sharer/sharer.php?u=https://politica.estadao.com.br/blogs/estadao-verifica/reportagem-de-tv-italiana-sobre-virus-criado-em-laboratorio-chines-nao-tem-relacao-com-a-covid-19/%3Futm_source%3Destadao%3Afacebook%26utm_medium%3Dlink,https://www.facebook.com/estadao,,,,https://twitter.com/intent/tweet?text=Reportagem+de+TV+italiana+sobre+v%C3%ADrus+criado+em+laborat%C3%B3rio+chin%C3%AAs+n%C3%A3o+tem+rela%C3%A7%C3%A3o+com+a+covid-19%20@estadao%3A%20&url=https://politica.estadao.com.br/blogs/estadao-verifica/reportagem-de-tv-italiana-sobre-virus-criado-em-laboratorio-chines-nao-tem-relacao-com-a-covid-19/%3Futm_source%3Destadao%3Atwitter%26utm_medium%3Dlink,,https://twitter.com/estadao/,,,,,,,,,,,,,,,,,,,,,
775,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-general-augusto-heleno-covid-19-cloroquina/,https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: É falso que general Augusto Heleno curou-se da Covid-19 com cloroquina&url=https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-general-augusto-heleno-covid-19-cloroquina/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que general Augusto Heleno curou-se da Covid-19 com cloroquina https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-general-augusto-heleno-covid-19-cloroquina/,1240251678282125318,,https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-general-augusto-heleno-covid-19-cloroquina/,1,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-general-augusto-heleno-covid-19-cloroquina/&t=%23Verificamos%3A+%C3%89+falso+que+general+Augusto+Heleno+curou-se+da+Covid-19+com+cloroquina,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-general-augusto-heleno-covid-19-cloroquina/&t=%23Verificamos%3A+%C3%89+falso+que+general+Augusto+Heleno+curou-se+da+Covid-19+com+cloroquina,https://www.facebook.com/help/publisher/182222309230722/,https://www.facebook.com/revistapiaui,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que general Augusto Heleno curou-se da Covid-19 com cloroquina https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-general-augusto-heleno-covid-19-cloroquina/,,https://twitter.com/gen_heleno/status/1240251678282125318?ref_src=twsrc%5Etfw,,,,,,,,,,,,,,,,,,,,,
776,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-quarentena-marginal-tiete-coronavirus/,https://twitter.com/intent/tweet?text=[Agência Lupa] #Verificamos: É falso que homem desempregado ‘por conta da quarentena’ pulou de viaduto em São Paulo&url=https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-quarentena-marginal-tiete-coronavirus/,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que homem desempregado ‘por conta da quarentena’ pulou de viaduto em São Paulo https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-quarentena-marginal-tiete-coronavirus/,,,https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-quarentena-marginal-tiete-coronavirus/,0,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-quarentena-marginal-tiete-coronavirus/&t=%23Verificamos%3A+%C3%89+falso+que+homem+desempregado+%E2%80%98por+conta+da+quarentena%E2%80%99+pulou+de+viaduto+em+S%C3%A3o+Paulo,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-quarentena-marginal-tiete-coronavirus/&t=%23Verificamos%3A+%C3%89+falso+que+homem+desempregado+%E2%80%98por+conta+da+quarentena%E2%80%99+pulou+de+viaduto+em+S%C3%A3o+Paulo,https://www.facebook.com/help/publisher/182222309230722/,https://www.facebook.com/revistapiaui,https://twitter.com/intent/tweet?text=[Agência Lupa] Verificamos: É falso que homem desempregado ‘por conta da quarentena’ pulou de viaduto em São Paulo https://piaui.folha.uol.com.br/lupa/2020/03/26/verificamos-quarentena-marginal-tiete-coronavirus/,,,,,,,,,,,,,,,,,,,,,,,
777,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/22/drauzio-salles-coronavirus/,https://twitter.com/intent/tweet?text=[Agência Lupa] É antigo vídeo de Drauzio Varella minimizando isolamento contra novo coronavírus&url=https://piaui.folha.uol.com.br/lupa/2020/03/22/drauzio-salles-coronavirus/,https://twitter.com/intent/tweet?text=[Agência Lupa] É antigo vídeo de Drauzio Varella minimizando isolamento contra novo coronavírus https://piaui.folha.uol.com.br/lupa/2020/03/22/drauzio-salles-coronavirus/,1241575854934720513,1241708490181283842,https://piaui.folha.uol.com.br/lupa/2020/03/22/drauzio-salles-coronavirus/?check=1,1,https://www.facebook.com/LupaNews,https://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/22/drauzio-salles-coronavirus/&t=%C3%89+antigo+v%C3%ADdeo+de+Drauzio+Varella+minimizando+isolamento+contra+novo+coronav%C3%ADrus,http://facebook.com/share.php?u=https://piaui.folha.uol.com.br/lupa/2020/03/22/drauzio-salles-coronavirus/&t=%C3%89+antigo+v%C3%ADdeo+de+Drauzio+Varella+minimizando+isolamento+contra+novo+coronav%C3%ADrus,https://www.facebook.com/revistapiaui,,https://twitter.com/intent/tweet?text=[Agência Lupa] É antigo vídeo de Drauzio Varella minimizando isolamento contra novo coronavírus https://piaui.folha.uol.com.br/lupa/2020/03/22/drauzio-salles-coronavirus/,,https://twitter.com/rsallesmma/status/1241575854934720513,https://twitter.com/drauziovarella/status/1241708490181283842,https://twitter.com/hashtag/EquipeDV?src=hash&ref_src=twsrc%5Etfw,https://twitter.com/drauziovarella/status/1241708490181283842?ref_src=twsrc%5Etfw,,,,,1241708490181283842,,,,,,,,,,,,,
778,https://www.facebook.com/aosfatos.org/?fref=ts,,,,,https://www.aosfatos.org/noticias/presidente-chines-nao-disse-que-pandemia-e-inicio-de-nova-era-para-o-socialismo/,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,https://www.facebook.com/sharer/sharer.php?u=https://politica.estadao.com.br/blogs/estadao-verifica/boato-falso-associa-quarentena-com-video-antigo-de-descarte-de-alimentos/%3Futm_source%3Destadao%3Afacebook%26utm_medium%3Dlink,https://twitter.com/intent/tweet?text=Boato falso associa quarentena com vídeo antigo de descarte de alimentos%20@estadao%3A%20&url=https://politica.estadao.com.br/blogs/estadao-verifica/boato-falso-associa-quarentena-com-video-antigo-de-descarte-de-alimentos/%3Futm_source%3Destadao%3Atwitter%26utm_medium%3Dlink,https://twitter.com/intent/tweet?text=Boato falso associa quarentena com vídeo antigo de descarte de alimentos%20@estadao%3A%20&url=https://politica.estadao.com.br/blogs/estadao-verifica/boato-falso-associa-quarentena-com-video-antigo-de-descarte-de-alimentos/%3Futm_source%3Destadao%3Atwitter%26utm_medium%3Dlink,,,https://politica.estadao.com.br/blogs/estadao-verifica/boato-falso-associa-quarentena-com-video-antigo-de-descarte-de-alimentos/,0,https://www.facebook.com/sharer/sharer.php?u=https://politica.estadao.com.br/blogs/estadao-verifica/boato-falso-associa-quarentena-com-video-antigo-de-descarte-de-alimentos/%3Futm_source%3Destadao%3Afacebook%26utm_medium%3Dlink,https://www.facebook.com/ceagesp.oficial/videos/267956200882385/,https://www.facebook.com/estadao,,,https://twitter.com/intent/tweet?text=Boato+falso+associa+quarentena+com+v%C3%ADdeo+antigo+de+descarte+de+alimentos%20@estadao%3A%20&url=https://politica.estadao.com.br/blogs/estadao-verifica/boato-falso-associa-quarentena-com-video-antigo-de-descarte-de-alimentos/%3Futm_source%3Destadao%3Atwitter%26utm_medium%3Dlink,,https://twitter.com/estadao/,,,,,,,,,,,,,,,,,,,,,
